"","id1","id2","boundary"
"306",449,449,8000
"307",449,476,4000
"308",449,477,4000
"309",449,504,4000
"310",462,462,4000
"311",462,489,4000
"312",462,490,4000
"313",462,517,4000
"314",464,464,4000
"315",464,491,4000
"316",464,492,4000
"317",464,519,4000
"318",465,465,4000
"319",465,492,4000
"320",465,493,4000
"321",465,520,4000
"322",468,468,8000
"323",468,496,4000
"324",468,523,4000
"325",469,496,4000
"326",469,497,4000
"327",469,524,4000
"328",470,497,4000
"329",470,498,4000
"330",470,525,4000
"331",471,498,4000
"332",471,499,4000
"333",471,526,4000
"334",472,499,4000
"335",472,500,4000
"336",472,527,4000
"337",473,500,4000
"338",473,501,4000
"339",473,528,4000
"340",474,501,4000
"341",474,502,4000
"342",474,529,4000
"343",475,502,4000
"344",475,503,4000
"345",475,530,4000
"346",476,503,4000
"347",476,504,4000
"348",476,531,4000
"349",477,477,8000
"350",477,504,4000
"351",477,505,4000
"352",477,532,4000
"353",487,487,16000
"354",487,514,4000
"355",487,542,4000
"356",489,489,4000
"357",489,516,4000
"358",489,517,4000
"359",489,544,4000
"360",490,490,8000
"361",490,517,4000
"362",490,518,4000
"363",490,545,4000
"364",491,491,8000
"365",491,518,4000
"366",491,519,4000
"367",491,546,4000
"368",492,519,4000
"369",492,520,4000
"370",492,547,4000
"371",493,493,8000
"372",493,520,4000
"373",493,521,4000
"374",493,548,4000
"375",496,523,4000
"376",496,524,4000
"377",496,551,4000
"378",497,524,4000
"379",497,525,4000
"380",497,552,4000
"381",498,525,4000
"382",498,526,4000
"383",498,553,4000
"384",499,526,4000
"385",499,527,4000
"386",499,554,4000
"387",500,527,4000
"388",500,528,4000
"389",500,555,4000
"390",501,528,4000
"391",501,529,4000
"392",501,556,4000
"393",502,529,4000
"394",502,530,4000
"395",502,557,4000
"396",503,530,4000
"397",503,531,4000
"398",503,558,4000
"399",504,531,4000
"400",504,532,4000
"401",504,559,4000
"402",505,505,8000
"403",505,532,4000
"404",505,533,4000
"405",505,560,4000
"406",512,512,12000
"407",512,539,4000
"408",512,540,4000
"409",512,567,4000
"410",513,513,12000
"411",513,540,4000
"412",513,541,4000
"413",513,568,4000
"414",514,514,8000
"415",514,541,4000
"416",514,542,4000
"417",514,569,4000
"418",516,516,8000
