"","species","pu","amount"
"85",26,386,22.722924268
"86",26,387,343.52532749
"87",26,388,317.165815283
"88",26,389,722.395234229
"89",25,390,74.771624023
"90",26,390,292.510527686
"91",10,391,2640.19458999
"92",25,391,151.045134961
"93",26,391,97.414067578
"94",10,392,4156.921938184
"95",25,392,66.586634131
"96",26,392,268.962605273
"97",10,393,2036.241822119
"98",25,393,66.09903042
"99",26,393,30.439955811
"100",11,409,5.009753271
"101",26,413,64.056621924
"102",26,414,83.916447803
"103",26,415,380.591240869
"104",26,416,237.432314648
"105",26,417,339.694384961
"106",25,418,399.066323486
"107",26,418,53.457939502
"108",10,419,3436.72655127
"109",25,419,337.484534033
"110",26,419,8.402754053
"111",10,420,4156.921938135
"112",25,420,209.299047607
"113",26,420,39.2955479
"114",10,421,251.751497168
"115",25,421,36.162336621
"116",11,437,83.329534521
"117",26,441,29.47816084
"118",26,442,188.71486875
"119",26,443,405.93792002
"120",26,444,101.698509082
"121",25,445,155.732958594
"122",26,445,37.507786865
"123",25,446,377.187075342
"124",10,447,4027.94481377
"125",25,447,355.015673047
"126",10,448,4145.250723193
"127",25,448,384.50485835
"128",10,449,130.236745117
"129",25,449,0.087887012
"130",11,462,52.197131982
"131",11,464,62.856821289
"132",11,465,170.119761475
"133",26,468,66.720242627
"134",17,469,13.010589697
"135",18,469,19.819257959
"136",19,469,0.004225342
"137",26,469,156.910720996
"138",17,470,180.343535791
"139",18,470,96.109560547
"140",26,470,598.685158252
"141",26,471,674.797727686
"142",17,472,0.000400439
"143",18,472,7.765911426
"144",19,472,0.578127002
"145",20,472,5.509823145
"146",25,472,33.818700244
"147",26,472,8.634960596
"148",25,473,521.861157617
"149",10,474,62.524203809
"150",25,474,512.490090381
"151",10,475,4156.921938232
"152",25,475,143.421418799
"153",10,476,3616.700871777
"154",25,476,126.654299805
"155",10,477,175.150086572
"156",25,477,19.854045068
"157",11,489,89.278908691
"158",11,490,12.548104541
"159",11,491,38.637411768
"160",11,492,287.791571094
"161",11,493,160.738432471
"162",26,496,135.338631592
"163",17,497,167.961995898
"164",18,497,183.638590674
"165",19,497,178.294317188
"166",20,497,75.866479639
"167",26,497,250.541378857
"168",17,498,0.28529502
"169",26,498,585.966583154
"170",17,499,203.09253418
"171",18,499,151.976890625
"172",19,499,57.809602637
"173",20,499,111.180452148
"174",25,499,12.672109277
"175",26,499,229.851880078
"176",25,500,364.678411523
"177",25,501,412.813479492
"178",10,502,586.617556689
"179",25,502,594.551490723
"180",10,503,4156.921938184
"181",25,503,206.495158252
"182",10,504,4075.926668799
"183",25,504,309.500047412
"184",10,505,403.336055713
"185",25,505,110.619081299
"186",11,512,16.511028662
"187",11,514,63.10169707
"188",11,516,9.999999805
"189",11,517,111.259043359
"190",13,517,21.468873047
"191",11,518,71.881010498
"192",11,519,366.624678418
"193",11,520,175.172878809
"194",11,521,8.510720898
"195",26,523,180.322267334
"196",17,524,158.06666665
"197",18,524,115.673312061
"198",19,524,263.13662002
"199",20,524,260.408589404
"200",26,524,94.654321973
"201",17,525,7.172236865
"202",18,525,137.705326123
"203",19,525,13.323070605
"204",20,525,7
"205",26,525,1.86703252
"206",17,526,275.45965752
"207",18,526,384.286040967
"208",19,526,56.432155322
"209",20,526,234.510032031
"210",26,526,155.20872207
"211",17,527,189.708044092
"212",18,527,386.089008301
"213",19,527,140.440762646
"214",20,527,181.262901807
"215",25,527,28.106658301
"216",25,528,932.710051855
"217",25,529,433.97588999
"218",10,530,1358.721090039
"219",25,530,174.711011914
"220",10,531,4156.921938135
"221",25,531,127.95507793
"222",10,532,4146.369296484
"223",25,532,76.245581738
"224",10,533,220.839818213
"225",25,533,8.516840186
"226",11,539,70.105780029
"227",11,540,154.331385986
"228",11,541,83.444440137
"229",11,542,276.062103857
"230",11,543,13.342421875
"231",11,544,121.47841748
"232",11,545,239.569401563
"233",12,545,23.255088281
"234",13,545,15.122497412
"235",11,546,436.769087744
"236",11,547,186.377082129
"237",11,548,170.412563721
"238",18,551,0.640388525
"239",19,551,77.843253809
"240",20,551,68.501743604
"241",26,551,101.647565381
"242",17,552,213.879092578
"243",18,552,562.563508057
